2019-03-02 02:05:50,329 [I] 	(at main.py:29) 
2019-03-02 02:05:53,607 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  1571 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  1573 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\nexecute.sh: line 21:  1575 Killed                  timeout --signal=KILL 0.1 ./mug.exe -4 4 0 > ./outputs/output2\n'	(at ex_script.py:45) 
2019-03-02 02:05:53,608 [D] ┌:C:n:WD_2:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:53,608 [D] └:C:n:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:53,646 [D] ┌:C:c:WD_3:mug.c:32	(at logger.py:129) 
2019-03-02 02:05:53,647 [D] |:C:c:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:53,647 [D] └:C:c:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:53,692 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,692 [D] -:C:n:WD_1:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:53,732 [D] ┌:C:c:WD_2:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:53,732 [D] └:C:c:WD_2:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:53,748 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,748 [D] ┌:F:n:WD_3:mug.c:31	(at logger.py:129) 
2019-03-02 02:05:53,748 [D] |:F:n:WD_3:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:53,749 [D] └:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:53,784 [D] -:P:c:WD_1:mug.c:30	(at logger.py:129) 
2019-03-02 02:05:53,798 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,798 [D] -:F:n:WD_1:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:53,813 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,813 [D] ┌:F:n:WD_2:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:53,813 [D] └:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:53,848 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,848 [D] ┌:F:n:WD_3:mug.c:29	(at logger.py:129) 
2019-03-02 02:05:53,848 [D] |:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:53,848 [D] └:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:53,865 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,865 [D] -:F:n:WD_1:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:53,880 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,880 [D] ┌:F:n:WD_2:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:53,880 [D] └:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:53,897 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,897 [D] ┌:F:n:WD_3:mug.c:28	(at logger.py:129) 
2019-03-02 02:05:53,897 [D] |:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:53,897 [D] └:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:53,914 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,914 [D] -:F:n:WD_1:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:53,930 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,931 [D] ┌:F:n:WD_2:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:53,931 [D] └:F:n:WD_2:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:53,947 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:53,947 [D] ┌:F:n:WD_3:mug.c:27	(at logger.py:129) 
2019-03-02 02:05:53,947 [D] |:F:n:WD_3:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:53,947 [D] └:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:53,993 [D] -:P:n:WD_1:mug.c:26	(at logger.py:129) 
2019-03-02 02:05:54,009 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,009 [D] -:F:n:WD_1:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:54,027 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,027 [D] ┌:F:n:WD_2:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:54,027 [D] └:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:54,045 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,046 [D] ┌:F:n:WD_3:mug.c:25	(at logger.py:129) 
2019-03-02 02:05:54,046 [D] |:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:54,046 [D] └:F:n:WD_3:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:54,298 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b'execute.sh: line 9:  1722 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 -4 0 > ./outputs/output0\nexecute.sh: line 15:  1724 Killed                  timeout --signal=KILL 0.1 ./mug.exe 4 4 0 > ./outputs/output1\n'	(at ex_script.py:45) 
2019-03-02 02:05:54,298 [D] -:C:n:WD_1:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:54,356 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,357 [D] ┌:F:n:WD_2:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:54,358 [D] └:F:n:WD_2:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:54,404 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,404 [D] ┌:F:n:WD_3:mug.c:24	(at logger.py:129) 
2019-03-02 02:05:54,405 [D] |:F:n:WD_3:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:54,405 [D] └:F:n:WD_3:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:54,424 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,425 [D] -:F:n:WD_1:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:54,442 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,443 [D] ┌:F:n:WD_2:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:54,443 [D] └:F:n:WD_2:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:54,461 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,461 [D] ┌:F:n:WD_3:mug.c:23	(at logger.py:129) 
2019-03-02 02:05:54,461 [D] |:F:n:WD_3:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:54,461 [D] └:F:n:WD_3:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:54,516 [D] -:P:n:WD_1:mug.c:22	(at logger.py:129) 
2019-03-02 02:05:54,564 [D] -:P:n:WD_1:mug.c:21	(at logger.py:129) 
2019-03-02 02:05:54,581 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,582 [D] -:F:n:WD_1:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:54,598 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,598 [D] ┌:F:n:WD_2:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:54,598 [D] └:F:n:WD_2:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:54,615 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,615 [D] ┌:F:n:WD_3:mug.c:20	(at logger.py:129) 
2019-03-02 02:05:54,615 [D] |:F:n:WD_3:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:54,615 [D] └:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:54,662 [D] -:P:n:WD_1:mug.c:19	(at logger.py:129) 
2019-03-02 02:05:54,679 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,679 [D] -:F:n:WD_1:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:54,696 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,697 [D] ┌:F:n:WD_2:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:54,697 [D] └:F:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:54,713 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,713 [D] ┌:F:n:WD_3:mug.c:18	(at logger.py:129) 
2019-03-02 02:05:54,714 [D] |:F:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:54,714 [D] └:F:n:WD_3:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:54,757 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,758 [D] -:C:n:WD_1:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:54,806 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,807 [D] ┌:C:n:WD_2:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:54,807 [D] └:C:n:WD_2:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:54,855 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:54,855 [D] ┌:C:n:WD_3:mug.c:17	(at logger.py:129) 
2019-03-02 02:05:54,855 [D] |:C:n:WD_3:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:54,856 [D] └:C:n:WD_3:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:54,907 [D] -:P:n:WD_1:mug.c:16	(at logger.py:129) 
2019-03-02 02:05:54,956 [D] -:P:n:WD_1:mug.c:15	(at logger.py:129) 
2019-03-02 02:05:55,006 [D] -:C:n:WD_1:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:55,044 [D] ┌:C:c:WD_2:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:55,045 [D] └:C:c:WD_2:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:55,088 [D] ┌:C:c:WD_3:mug.c:14	(at logger.py:129) 
2019-03-02 02:05:55,088 [D] |:C:c:WD_3:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:55,088 [D] └:C:c:WD_3:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:55,127 [D] -:P:c:WD_1:mug.c:13	(at logger.py:129) 
2019-03-02 02:05:55,166 [D] -:P:c:WD_1:mug.c:12	(at logger.py:129) 
2019-03-02 02:05:55,181 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,181 [D] -:F:n:WD_1:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:55,196 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,197 [D] ┌:F:n:WD_2:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:55,197 [D] └:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:55,214 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,214 [D] ┌:F:n:WD_3:mug.c:11	(at logger.py:129) 
2019-03-02 02:05:55,214 [D] |:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:55,214 [D] └:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:55,230 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,230 [D] -:F:n:WD_1:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:55,248 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,249 [D] ┌:F:n:WD_2:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:55,249 [D] └:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:55,266 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,266 [D] ┌:F:n:WD_3:mug.c:10	(at logger.py:129) 
2019-03-02 02:05:55,266 [D] |:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:55,266 [D] └:F:n:WD_3:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:55,283 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,283 [D] -:F:n:WD_1:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:55,299 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,299 [D] ┌:F:n:WD_2:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:55,299 [D] └:F:n:WD_2:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:55,316 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,316 [D] ┌:F:n:WD_3:mug.c:9	(at logger.py:129) 
2019-03-02 02:05:55,316 [D] |:F:n:WD_3:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:55,317 [D] └:F:n:WD_3:mug.c:7	(at logger.py:129) 
2019-03-02 02:05:55,353 [D] -:P:c:WD_1:mug.c:8	(at logger.py:129) 
2019-03-02 02:05:55,390 [D] -:P:c:WD_1:mug.c:7	(at logger.py:129) 
2019-03-02 02:05:55,436 [D] -:P:n:WD_1:mug.c:6	(at logger.py:129) 
2019-03-02 02:05:55,472 [D] -:P:c:WD_1:mug.c:5	(at logger.py:129) 
2019-03-02 02:05:55,486 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,487 [D] -:F:n:WD_1:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:55,501 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,501 [D] ┌:F:n:WD_2:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:55,501 [D] └:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:55,516 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,516 [D] ┌:F:n:WD_3:mug.c:4	(at logger.py:129) 
2019-03-02 02:05:55,516 [D] |:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:55,516 [D] └:F:n:WD_3:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:55,532 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,533 [D] -:F:n:WD_1:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:55,545 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,545 [D] ┌:F:n:WD_2:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:55,545 [D] └:F:n:WD_2:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:55,557 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,557 [D] ┌:F:n:WD_3:mug.c:3	(at logger.py:129) 
2019-03-02 02:05:55,557 [D] |:F:n:WD_3:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:55,557 [D] └:F:n:WD_3:mug.c:1	(at logger.py:129) 
2019-03-02 02:05:55,602 [D] -:P:n:WD_1:mug.c:2	(at logger.py:129) 
2019-03-02 02:05:55,634 [D] -:P:c:WD_1:mug.c:1	(at logger.py:129) 
2019-03-02 02:05:55,634 [D] comp_cached_cnt:0	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] compile_cnt:141	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] execute_cnt:24	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] fail_del_cnt:17	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] iter_idx:1	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] reuse_cnt:15	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] succ_del_cnt:22	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] time:5.213702440261841	(at logger.py:134) 
2019-03-02 02:05:55,634 [D] deletion:24	(at logger.py:136) 
2019-03-02 02:05:55,635 [I] Iteration 1 finished	(at orbs.py:87) 
2019-03-02 02:05:55,644 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,644 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:55,657 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,658 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:55,658 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:55,702 [D] ┌:P:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:55,703 [D] |:P:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:55,703 [D] └:P:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:55,703 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:55,703 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:55,703 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:55,713 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,713 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:55,725 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,725 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:55,725 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:55,773 [D] ┌:P:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:55,774 [D] |:P:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:55,774 [D] └:P:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:55,774 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:55,774 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:55,774 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:55,786 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,786 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:55,798 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,799 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:55,799 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,809 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,810 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:55,810 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,810 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,859 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,874 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,874 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,874 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,886 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,886 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:55,886 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,886 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:55,898 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,898 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,909 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,909 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,909 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:55,943 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,943 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:55,943 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:55,943 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:55,957 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,957 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:55,969 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,969 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:55,970 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:55,981 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,982 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:55,982 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:55,982 [D] └:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:55,994 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:55,994 [D] -:F:n:WD_1:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:56,007 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,007 [D] ┌:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:56,007 [D] └:F:n:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:56,020 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,020 [D] ┌:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:56,020 [D] |:F:n:WD_3:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:56,020 [D] └:F:n:WD_3:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:56,032 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/11/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:56,032 [D] -:F:n:WD_1:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:56,070 [D] ┌:P:c:WD_2:mug.c:50	(at logger.py:129) 
2019-03-02 02:05:56,070 [D] └:P:c:WD_2:mug.c:44	(at logger.py:129) 
2019-03-02 02:05:56,070 [D]  : : :pass:mug.c:49	(at logger.py:129) 
